CustomerID,Products,City,SalesAmount,Month,Tax_Amount,Total_Price,Performance_Score
1835,Smartphone,Austin,4709.33699373022,7,941.867398746044,5651.204392476264,0.09370310957804198
1829,Digital Camera,Jacksonville,818.2487248837383,5,163.64974497674768,981.898469860486,0.015375987246639905
1657,Desktop Computer,Los Angeles,3411.2902802877034,11,682.2580560575407,4093.548336345244,0.06757359086994356
1467,Drone,Columbus,1319.5919461554154,10,263.9183892310831,1583.5103353864984,0.025467963863301725
1219,Digital Camera,San Diego,2136.476484066649,1,427.2952968133298,2563.771780879979,0.0419117478925374
1580,Laptop,Los Angeles,1494.3096830826971,12,298.8619366165394,1793.1716196992363,0.02898501015169803
1186,Digital Camera,Chicago,3787.3120677027778,11,757.4624135405556,4544.774481243334,0.07514286262816669
1280,Smartwatch,Los Angeles,1771.0178934548346,9,354.20357869096694,2125.2214721458017,0.034555111970628744
1165,Digital Camera,Columbus,500.4317551184013,12,100.08635102368028,600.5181061420816,0.00897837122000969
1043,External Hard Drive,Indianapolis,628.6789034094741,10,125.73578068189482,754.4146840913688,0.011559970345702678
1502,Wireless Earbuds,Charlotte,4182.261854257171,2,836.4523708514342,5018.714225108605,0.08309315265213932
1523,Wireless Earbuds,Phoenix,2390.1037732210775,9,478.0207546442155,2868.124527865293,0.04701723364140479
1166,Smartwatch,San Diego,3796.2819325902,1,759.25638651804,4555.53831910824,0.07532342489141794
1823,Drone,Houston,2652.4711404174036,11,530.4942280834807,3182.9653685008843,0.0522986560729362
1126,Smartwatch,Dallas,2185.318453903203,9,437.0636907806406,2622.382144683844,0.042894930663517954
1683,Drone,Seattle,4770.689178875264,4,954.1378357750528,5724.827014650316,0.09493812142540346
1218,Smartphone,Philadelphia,3411.2902802877034,5,682.2580560575407,4093.548336345244,0.06757359086994356
1273,Drone,Columbus,4277.7819371371215,1,855.5563874274244,5133.3383245645455,0.08501596002629883
1486,Smartwatch,Phoenix,1264.214809273372,8,252.84296185467443,1517.0577711280466,0.024353228993458112
1971,Digital Camera,Indianapolis,4142.685611992938,12,828.5371223985876,4971.222734391526,0.08229648782341603
1176,Smartwatch,San Antonio,114.0830817301014,5,22.81661634602028,136.8996980761217,0.0012012205330551224
1292,Smartwatch,Fort Worth,4199.308757531998,5,839.8617515063996,5039.1705090383975,0.0834363046923717
1187,Digital Camera,Phoenix,1781.9081837220326,1,356.38163674440653,2138.2898204664393,0.03477433215764243
1427,Gaming Console,Indianapolis,3411.2902802877034,8,682.2580560575407,4093.548336345244,0.06757359086994356
1559,Desktop Computer,Charlotte,3641.9808581272705,7,728.3961716254541,4370.377029752724,0.07221736347613486
1875,External Hard Drive,Seattle,48102.50721259265,4,9620.50144251853,57723.00865511118,0.9672022227420279
1009,Desktop Computer,Los Angeles,3083.847959828351,7,616.7695919656703,3700.6175517940214,0.06098221773239685
1321,External Hard Drive,San Antonio,2138.896380521835,5,427.779276104367,2566.675656626202,0.04196046010685344
1953,Smartphone,Columbus,693.2052549768712,8,138.64105099537423,831.8463059722454,0.01285887776789716
1474,Desktop Computer,New York City,590.2982525323955,6,118.0596505064791,708.3579030388746,0.010787372622727102
